lambda_b,alpha_deg,A_topo,SW_ceiling_fpaired_1_fSW_1,N_ring,f_ring,S_over_N_q044_fpaired_1_0,S_over_N_q044_fpaired_0_5,S_over_N_q044_fpaired_0_15
0.55,56.63298703076825,0.8351646544245033,6.387781304960276,17.703293088490064,0.3889861145818985,1.0932936214707702,0.5466468107353851,0.16399404322061553
0.65,49.45839812649548,0.7599342076785331,5.812379030999269,16.198684153570664,0.3720890913623515,0.9515980462111655,0.47579902310558275,0.14273970693167481
0.75,41.40962210927086,0.6614378277661477,5.059026586212016,14.228756555322953,0.3487309907244396,0.7762653155448382,0.3881326577724191,0.11643979733172573
0.85,31.78833061705162,0.526782687642637,4.029112805568989,11.535653752852738,0.31399893506342275,0.5566603372875872,0.2783301686437936,0.08349905059313809
0.95,18.194872338766785,0.31224989991991997,2.3882524992135994,7.2449979983984,0.24884344438897912,0.2614924303089559,0.13074621515447796,0.039223864546343384
