template,n_modes,trace,trace_square,fisher,sigma_A,min_eigenvalue,max_eigenvalue
6x6 toy block,6,0.0,0.18280000000000002,0.09140000000000001,3.3077060082781125,-0.27177274091564835,0.2717727409156484
117-mode synthetic ring,117,0.0,1.9999999999999993,0.9999999999999997,1.0000000000000002,-0.18483341405117848,0.1849000654084097
